mhd-term-id,mhd-term,mtbls-st4c,mtbls-term-id,mtbls-term,mw,instance-of
MS_1000139,4000 QTRAP,AB SCIEX QTRAP 4000,MTBLS_000594,AB SCIEX QTRAP 4000,ABI Sciex 4000 Qtrap; ABI Sciex API 4000 Qtrap,Mass spectrometry instrument
MS_1000140,4700 Proteomics Analyzer,,,,,Mass spectrometry instrument
MS_1000141,apex IV,,,,,Mass spectrometry instrument
MS_1000142,apex Q,,,,,Mass spectrometry instrument
MS_1000143,API 150EX,,,,,Mass spectrometry instrument
MS_1000144,API 150EX Prep,,,,,Mass spectrometry instrument
MS_1000145,API 2000,AB SCIEX API 2000,MTBLS_002035,AB SCIEX API 2000,,Mass spectrometry instrument
MS_1000146,API 3000,,,,,Mass spectrometry instrument
MS_1000147,API 4000,AB SCIEX API 4000,MTBLS_000593,AB SCIEX API 4000,,Mass spectrometry instrument
MS_1000148,autoflex II,,,,,Mass spectrometry instrument
MS_1000149,autoflex TOF/TOF,,,,,Mass spectrometry instrument
MS_1000150,Auto Spec Ultima NT,,,,,Mass spectrometry instrument
MS_1000151,BioTOF II,,,,,Mass spectrometry instrument
MS_1000152,BioTOF-Q,,,,,Mass spectrometry instrument
MS_1000153,DELTA plusAdvantage,,,,,Mass spectrometry instrument
MS_1000154,DELTAplusXP,,,,,Mass spectrometry instrument
MS_1000156,esquire 4000,,,,,Mass spectrometry instrument
MS_1000157,esquire 6000,Bruker Esquire 6000,MTBLS_000626,Bruker Esquire 6000,,Mass spectrometry instrument
MS_1000158,explorer,,,,,Mass spectrometry instrument
MS_1000159,GCT,,,,,Mass spectrometry instrument
MS_1000160,HCT,,,,,Mass spectrometry instrument
MS_1000161,HCTplus,,,,,Mass spectrometry instrument
MS_1000162,HiRes ESI,,,,,Mass spectrometry instrument
MS_1000163,HiRes MALDI,,,,,Mass spectrometry instrument
MS_1000164,IsoPrime,,,,,Mass spectrometry instrument
MS_1000165,IsoProbe,,,,,Mass spectrometry instrument
MS_1000166,IsoProbe T,,,,,Mass spectrometry instrument
MS_1000167,LCQ Advantage,,,,,Mass spectrometry instrument
MS_1000168,LCQ Classic,,,,,Mass spectrometry instrument
MS_1000169,LCQ Deca XP Plus,,,,,Mass spectrometry instrument
MS_1000170,M@LDI L,,,,,Mass spectrometry instrument
MS_1000171,M@LDI LR,,,,,Mass spectrometry instrument
MS_1000172,MAT253,,,,,Mass spectrometry instrument
MS_1000173,MAT900XP,,,,,Mass spectrometry instrument
MS_1000174,MAT900XP Trap,,,,,Mass spectrometry instrument
MS_1000175,MAT95XP,,,,,Mass spectrometry instrument
MS_1000176,MAT95XP Trap,,,,,Mass spectrometry instrument
MS_1000177,microflex,,,,,Mass spectrometry instrument
MS_1000178,microTOF LC,,,,,Mass spectrometry instrument
MS_1000179,neptune,,,,,Mass spectrometry instrument
MS_1000180,NG-5400,,,,,Mass spectrometry instrument
MS_1000181,OMEGA,,,,,Mass spectrometry instrument
MS_1000182,OMEGA-2001,,,,,Mass spectrometry instrument
MS_1000183,OmniFlex,,,,,Mass spectrometry instrument
MS_1000184,Platform ICP,,,,,Mass spectrometry instrument
MS_1000185,PolarisQ,Thermo Electron PolarisQ,MTBLS_001021,Thermo Electron PolarisQ,,Mass spectrometry instrument
MS_1000186,proteomics solution 1,,,,,Mass spectrometry instrument
MS_1000187,Q TRAP,SCIEX QTRAP System,MTBLS_002207,SCIEX QTRAP System,,Mass spectrometry instrument
MS_1000188,Q-Tof micro,Waters Micromass Q-Tof micro,MTBLS_000669,Waters Micromass Q-Tof micro,,Mass spectrometry instrument
MS_1000189,Q-Tof Ultima,Waters Micromass Q-Tof Ultima,,,Waters Ultima QTOF,Mass spectrometry instrument
MS_1000190,QSTAR,,,,,Mass spectrometry instrument
MS_1000191,quattro micro,Waters Micromass Quattro micro API,MTBLS_000670,Waters Micromass Quattro micro API,,Mass spectrometry instrument
MS_1000192,Quattro Ultima,,,,,Mass spectrometry instrument
MS_1000193,Surveyor MSQ,,,,,Mass spectrometry instrument
MS_1000194,SymBiot I,,,,,Mass spectrometry instrument
MS_1000195,SymBiot XVI,,,,,Mass spectrometry instrument
MS_1000196,TEMPUS TOF,,,,,Mass spectrometry instrument
MS_1000197,TRACE DSQ,Thermo Finnigan TRACE DSQ; Thermo Electron TRACE DSQ,,,Thermo Trace DSQ,Mass spectrometry instrument
MS_1000198,TRITON,,,,,Mass spectrometry instrument
MS_1000199,TSQ Quantum,Thermo Scientific TSQ Quantum,MTBLS_002248,Thermo Scientific TSQ Quantum,,Mass spectrometry instrument
MS_1000200,ultima,,,,,Mass spectrometry instrument
MS_1000201,ultraflex,,,,,Mass spectrometry instrument
MS_1000202,ultraflex TOF/TOF,,,,,Mass spectrometry instrument
MS_1000203,Voyager-DE PRO,,,,,Mass spectrometry instrument
MS_1000204,Voyager-DE STR,,,,,Mass spectrometry instrument
MS_1000447,LTQ,Thermo Fisher LTQ; Thermo Scientific LTQ Linear Ion Trap,MTBLS_000652; MTBLS_000639,Thermo Scientific LTQ Linear Ion Trap; Thermo Fisher LTQ,Thermo LTQ,Mass spectrometry instrument
MS_1000448,LTQ FT,Thermo Scientific LTQ FT,,,Thermo LTQ-FT,Mass spectrometry instrument
MS_1000449,LTQ Orbitrap,Thermo Scientific LTQ Orbitrap,MTBLS_000644,Thermo Scientific LTQ Orbitrap,,Mass spectrometry instrument
MS_1000450,LXQ,,,,,Mass spectrometry instrument
MS_1000467,1200 series LC/MSD SL,,,,,Mass spectrometry instrument
MS_1000468,6110 Quadrupole LC/MS,,,,,Mass spectrometry instrument
MS_1000469,6120A Quadrupole LC/MS,,,,,Mass spectrometry instrument
MS_1000470,6130 Quadrupole LC/MS,,,,,Mass spectrometry instrument
MS_1000471,6140 Quadrupole LC/MS,,,,,Mass spectrometry instrument
MS_1000472,6210 Time-of-Flight LC/MS,Agilent 6210 TOF,MTBLS_000605,Agilent 6210 TOF,Agilent 6210 TOF,Mass spectrometry instrument
MS_1000473,6310 Ion Trap LC/MS,,,,,Mass spectrometry instrument
MS_1000474,6320 Ion Trap LC/MS,,,,,Mass spectrometry instrument
MS_1000475,6330 Ion Trap LC/MS,,,,,Mass spectrometry instrument
